,School,Zipcode
322,Francis Lewis High School,['11365']
323,Frank Mccourt High School,['10024']
324,Frank Sinatra School of the Arts High School,['11106']
325,Franklin Delano Roosevelt High School,['11204']
326,Frederick Douglass Academy,['10039']
327,Frederick Douglass Academy II Secondary School,['10026']
328,Frederick Douglass Academy III Secondary School,['10456']
329,Frederick Douglass Academy V. Middle School,['10457']
330,Frederick Douglass Academy VI High School,['11691']
331,Frederick Douglass Academy VII High School,['11212']
332,Frederick Douglass Academy VIII Middle School,['11239']
333,Future Leaders Institute Charter School,['10027']
334,Garden of Learning and Discovery Pre-K Center,['10452']
335,Gaynor McCown Expeditionary Learning School,['10314']
336,George Washington Carver High School for the Scien,['11413']
337,George Westinghouse Career and Technical Education,['11201']
338,Girls Preparatory Charter School of New York,['10002']
339,Girls Preparatory Charter School of the Bronx,['10455']
340,Global Community Charter School,['10037']
341,Global Technology Preparatory,['10035']
342,Goldie Maple Academy,['11692']
343,Gotham Collaborative High School,['10473']
344,Gotham Professional Arts Academy,['11238']
345,Gramercy Arts High School,['10003']
346,Grand Concourse Charter School,['10465']
347,Grant Avenue Elementary School,['10456']
348,Gregorio Luperon High School for Science and Mathe,['10032']
349,Grover Cleveland High School,['11385']
350,Growing Up Green Charter School II,['11432']
351,Hamilton Grange Middle School,['10031']
352,Hamilton Heights School,['10031']
353,Harbor Science and Arts Charter School,['10029']
354,Harlem Children's Zone Promise Academy 1 Charter S,['10027']
355,Harlem Children's Zone Promise Academy II Charter,['10035']
356,Harlem Hebrew Language Charter School,['10026']
357,Harlem Link Charter School,['10026']
358,Harlem Prep Charter School,['10030']
359,Harlem Renaissance High School,['10035']
360,Harlem Village Academy Charter School,['10027']
361,Harlem Village Academy Leadership Charter School,['10027']
362,Harriet Tubman Charter School,['10456']
363,Harry S Truman High School,['10475']
364,Harvest Collegiate High School,['10011']
365,Harvey Milk High School,['10003']
366,Hawtree Creek Middle School,['11420']
367,Health Opportunities High School,['10451']
368,Hebrew Language Academy Charter School,['11234']
369,Hebrew Language Academy Charter School 2,['11234']
370,Heketi Community Charter School,['10454']
371,Hellenic Classical Charter School,['11215']
372,Herbert H. Lehman High School,['10461']
373,"Heritage School, The",['10029']
374,High School M560 - City As School,['10014']
375,High School for Arts and Business,['11368']
376,High School for Civil Rights,['11207']
377,High School for Community Leadership,['11432']
378,"High School for Construction Trades, Engineering a",['11416']
379,High School for Contemporary Arts,['10467']
380,High School for Dual Language and Asian Studies,['10002']
381,High School for Energy and Technology,['10458']
382,High School for Environmental Studies,['10019']
383,High School for Excellence and Innovation,['10034']
384,High School for Health Careers and Sciences,['10040']
385,High School for Health Professions and Human Servi,['10003']
386,High School for Innovation in Advertising and Medi,['11236']
387,High School for Law Enforcement and Public Safety,['11434']
388,High School for Law and Public Service,['10040']
389,"High School for Law, Advocacy and Community Justic",['10023']
390,"High School for Mathematics, Science and Engineeri",['10031']
391,High School for Media and Communications,['10040']
392,High School for Medical Professions,['11236']
393,High School for Public Service: Heroes of Tomorrow,['11203']
394,High School for Teaching and the Professions,['10468']
395,High School for Violin and Dance,['10456']
396,High School for Youth and Community Development at,['11226']
397,High School of American Studies at Lehman College,['10468']
398,High School of Applied Communication,['11101']
399,High School of Arts and Technology,['10023']
400,High School of Computers and Technology,['10467']
401,High School of Economics and Finance,['10006']
402,High School of Hospitality Management,['10019']
403,High School of Language and Innovation,['10469']
404,High School of Sports Management,['11214']
405,High School of World Cultures,['10472']
406,Highland Park Community School,['11208']
407,Hillcrest High School,['29681']
408,Hillside Arts & Letters Academy,['11432']
409,Holcombe L. Rucker School of Community Research,['10459']
410,Home Instruction,['10465']
411,Hostos-Lincoln Academy of Science,['10455']
412,Hudson High School of Learning Technologies,['10011']
413,Humanities Preparatory Academy,['10011']
414,Hunters Point Community Middle School,['11101']
415,Hyde Leadership Charter School,['10474']
416,Hyde Leadership Charter School- Brooklyn,['11207']
417,I. S. 381,['11210']
418,I.S. 007 Elias Bernstein,['10312']
419,I.S. 025 Adrien Block,['11358']
420,I.S. 027 Anning S. Prall,['10310']
421,I.S. 034 Tottenville,['10307']
422,I.S. 059 Springfield Gardens,['11413']
423,I.S. 061 William A Morris,['10301']
424,I.S. 072 Rocco Laurie,['10314']
425,I.S. 093 Ridgewood,['11385']
426,I.S. 096 Seth Low,['11204']
427,I.S. 117 Joseph H. Wade,['10453']
428,I.S. 119 The Glendale,['11385']
